pc_their_page_empty,They haven't followed anyone yet,Todavía no ha seguido a nadie,उन्होंने अभी तक किसी का अनुसरण नहीं किया,フォロワーはいません,아직 팔로우한 사람이 없습니다,Ainda não seguiram ninguém,Пользователь еще ни на кого не подписан,พวกเขายังไม่ได้ติดตามใครเลย,Ta vẫn chưa follow ai,Ta还没有关注任何人,Ta還沒有關注任何人
pc_have_not_followed_and_add_friends,They haven't followed anyone yet,Todavía no ha seguido a nadie,उन्होंने अभी तक किसी का अनुसरण नहीं किया,フォロワーはいません,아직 팔로우한 사람이 없습니다,Ainda não seguiram ninguém,Пользователь еще ни на кого не подписан,พวกเขายังไม่ได้ติดตามใครเลย,Chưa follow ai,还没有关注任何人,還沒有關注任何人
pc_have_not_fans_and_add_friends,"No fans yet, be more interactive~","Todavía no tienes seguidores, sé más interactivo~","अभी तक कोई प्रशंसक नहीं, और अधिक इंटरेक्टिव बनें~",ファンはいません。もっと交流してみよう～,아직 팬이 없어요.더 활발히 활동해 보세요~,"Ainda sem fãs, interaja mais~","Нет поклонников, тем не менее, больше взаимодействуйте с другими~",ยังไม่มีแฟนเลย ต้องมีการโต้ตอบมากขึ้น ~,"Vẫn chưa có fan, hãy tương tác nhiều hơn ~",还没有粉丝，多多参与互动吧~,還沒有粉絲，多多參與互動吧~
pc_be_their_first_fan,"They don't have any fans yet, become their first fan~","Todavía no tiene seguidores, sé tú el primero~","उनके अभी तक कोई प्रशंसक नहीं हैं, उनके पहले प्रशंसक बनें~",ファンはいません。最初のファンになってみよう～,아직 팬이 없네요. 첫번 째 팬이 되어 주세요~,"Eles ainda não têm fãs, torne-se o primeiro fã deles~","У пользователя еще нет поклонников, станьте его первым поклонником~",พวกเขายังไม่มีแฟนเลย มาเป็นแฟนคนแรกของพวกเขา ~,"Ta vẫn chưa có fan, trở thành fan đầu tiên của Ta đi!",Ta还没有粉丝，成为Ta第一个粉丝吧~,Ta還沒有粉絲，成為Ta第一個粉絲吧~
pc_contacts,Contacts,Contactos,संपर्क,連絡先,연락처,Contatos,Контакты,รายชื่อผู้ติดต่อ,Liên hệ,通讯录,通訊錄
pc_failed_access_contacts,Failed to access Contacts,Error al acceder a los Contactos,संपर्क तक पहुँचना विफल,連絡先へのアクセスに失敗しました。,연락처에 액세스 실패,Falhou ao acessar os Contatos,Не удалось получить доступ к Контактам,ล้มเหลวในการเข้าถึงรายชื่อ,Không thể truy cập Danh bạ,通讯录授权失败,通訊錄授權失敗
pc_current_account,Current account,Cuenta actual,चालू खाता,現アカウント,현재 계정,Conta atual,Текущая учетная запись,บัญชีปัจจุบัน,Tài khoản hiện tại,当前账号,當前帳號
pc_account_setting,Account settings,Configuración de la cuenta,खाता सेटिंग्स,アカウント設定,계정 설정,Configurações da conta,Настройки учетной записи,การตั้งค่าบัญชี,Cài đặt tài khoản,账号设置,帳號設定
pc_beta_feedback,Beta feedback,Comentarios Beta,बीटा फ़ीडबैक,Beta フィードバック,베타 피드백,Feedback beta,Тестовая обратная связь,ข้อเสนอแนะรุ่นเบต้า,Phản hồi beta,内测反馈,內測迴響
pc_super_camera,Camera,Cámara,कैमरा,カメラ,카메라,Câmera,Камера,กล้อง,Camera,相机,相機
pc_super_camera_2,Camera,Cámara,कैमरा,カメラ,카메라,Câmera,Камера,กล้อง,Camera,超级相机,超級相機
pc_selfie,Selfie,Selfie,सेल्फ़ी,自撮り,셀카,Selfie,Селфи,เซลฟี,Selfie,自拍,自拍
pc_selfie_2,Selfie,Selfie,सेल्फ़ी,自撮り,셀카,Selfie,Селфи,เซลฟี,Selfie,自拍相机,自拍相機
pc_enhance,Album,Álbum,एल्बम,アルバム,앨범,Álbum,Альбом,อัลบั้ม,Album,相册,相册
pc_ar_camera,AR camera,Cámara AR,AR कैमरा,AR カメラ,AR 카메라,Câmera AR,Камера AR,กล้อง AR,AR camera,AR相机,AR相機
pc_bind_phone_and_search_contacts,Search contacts after binding,Se puede encontrar amigos,बाइंडिंग के बाद मित्रों की खोज कर सकते हैं,関連付けした後にの友人を探すことができます,바인딩 후에 친구를 검색할 있습니다,Procurar por amigos após vincular,искать друзей после привязки,สามารถค้นหาของเพื่อนได้หลังจากที่ผูกแล้ว,Tìm bạn bè sau khi liên kết,绑定手机号后，即可查找通讯录好友,綁定手機號後，即可查找通訊錄好友
pc_phone_number_bound,Phone number bound,Número telefónico vinculado,फ़ोन नंबर बाउंड हो गया है,電話番号が関連付けられました。,전화 번호 바인딩,Número de telefone vinculado,Номер телефона привязан,หมายเลขโทรศัพท์ที่ถูกผูกไว้,Số điện thoại đã liên kết,已绑定手机号,已綁定手機號
pc_reply,Reply,Responder,उत्तर दें,返答,댓글,Responder,Ответить,ตอบ,Trả lời,回复,回復
pc_contacts_friend,Contacts friend - %@,Amigo de contactos - %@,संपर्क मित्र - %@,連絡先の友人 - %@,친구 연락처 - %@,Entra em contato com o amigo - %@,Друг из контактов - %@,ติดต่อเพื่อน - %@,Bạn trong danh bạ - %@,通讯录好友 - %@,通訊錄好友- %@
pc_failed_to_bind,Failed to bind,Error al vincular,बाइंड करना विफल,関連付けできませんでした。,바인딩 실패,Falhou ao vincular,Не удалось привязать,ล้มเหลวในการผูก,Không thể liên kết,绑定失败,綁定失敗
pc_capture_challenge,Shoot,Desafío de captura,चुनौती कैप्चर करें,シュート,캡처 도전,Fotografar,Снимайте,การแข่งขันถ่ายภาพ,Thách thức Chụp,拍照挑战,拍照挑戰
pc_comment,Comment,Comentario,टिप्पणी,コメント,댓글,Comentário,Комментарий,ความคิดเห็น,Bình luận,评论,評論
pc_message_comment,Comments,Comentario,टिप्पणी,コメント,댓글,Comentário,Комментарий,ความคิดเห็น,Bình luận,评论,評論
pc_enter_what_you_want_to_say,Say something…,Di algo…,कुछकहें,何か発言しましょう…,뭐라고말해보세요…,Diga algo...,Скажите что-нибудь...,พูดอะไรสักอย่าง…,Nói gì đi...,说点什么吧…,說點什麼吧…
pc_send,Send,Send,Send,送信,발송,Send,Send,ส่ง,Gửi,发送,發送
pc_comment_has_been_deleted,Comment has been deleted,Se eliminó el comentario,टिप्पणी हटा दी गई है,コメントは削除されました。,댓글이 삭제되었습니다,O comentário foi excluído,Комментарий удален,การแสดงความคิดเห็นถูกลบออก,Nhận xét đã bị xóa,该评论已删除,該評論已删除
pc_content_has_been_deleted,Content has been deleted,Se eliminó el contenido,सामग्री हटा दी गई है,コンテンツは削除されました。,내용이 삭제되었습니다,O conteúdo foi excluído,Содержимое удалено,เนื้อหาถูกลบไปแล้ว,Nội dung đã bị xóa,该内容已删除,該內容已删除
pc_likes_num,%ld Likes,%ld Me gusta,%ld पसंद,%ld の「いいね」,좋아요' %ld,%ld curtidas,%ld отметок «нравится»,%ld ไล้ค์,%ld Thích,%ld个赞,%ld個贊
pc_long_photo,Long,Largo,लंबा,長い,길게,Longo,Длинный,ยาว,Dài,长图,長圖
pc_tap_zan,Like,Me gusta,पसंद करें,いいね,좋아요,Curtir,«Нравится»,ไล้ค์,Thích,点赞,點贊
pc_check_all_comments,Check all %ld comments,Verificar todos los %ld comentarios,सभी %ld टिप्पणियों की जाँच करें,すべての %ld コメントをチェックする,모두 %ld 코멘트 확인,Verificar todos os %ld comentários,Посмотреть все комментарии (%ld),ตรวจสอบทั้งหมด %ld ความเห็น,Kiểm tra tất cả %ld bình luận,查看%ld条评论,查看%ld條評論
pc_check_detail,Check details,Verificar detalles,विवरण की जाँच करें,詳細をチェックする,세부사항 점검,Verificar detalhes,Посмотреть подробно,ตรวจสอบรายละเอียด,Kiểm tra chi tiết,查看详情,查看詳情
pc_create_relay,Create Relay,Crear retransmisión,रिले बनाएँ,Relay（リレー）を作成する,릴레이 만들기,Criar transmissão,Создать эстафету,สร้างรีเลย์,Tạo Chuyển tiếp,创建接力,創建接力
pc_delete_this_comment,Delete this comment,Eliminar este comentario,यह टिप्पणी हटाएँ,このコメントを削除する,이 댓글을 삭제합니다,Excluir este comentário,Удалить этот комментарий,ลบความคิดเห็นนี้,Xóa bình luận này,删除该条评论,删除該條評論
pc_all_comments,All comments,Todos los comentarios,सभी टिप्पणियाँ,すべてのコメント,모든 댓글,Todos os comentários,Все комментарии,ความคิดเห็นทั้งหมด,Tất cả bình luận,全部评论,全部評論
pc_his_her_comment,His/her comment,Su comentario,उनकी टिप्पणी,彼の/彼女のコメント,그/그녀의 코멘트,Comentário dele/dela,Его/ее комментарий,ความคิดเห็นของเขา/เธอ,Bình luận của cô/anh ấy,TA的评论,TA的評論
pc_details,Details,Detalles,विवरण,詳細,세부사항,Detalhes,Подробные сведения,รายละเอียด,Chi tiết,详情,詳情
pc_comment_words_too_many,"Comment too long, 140 words or less","Comentario demasiado largo, 140 palabras o menos","टिप्पणीबहुतलंबीहै, 140शब्दयाकम",コメントが長すぎます。140文字以内に収めてください,코멘트가너무깁니다(140단어미만),"Comentário longo demais, 140 palavras ou menos","Комментарий слишком длинный, должно быть не более 140 слов",แสดงความคิดเห็นยาวเกินไปต้อง140คำหรือน้อยกว่า,"Bình luận quá dài, tối đa 140 chữ",评论过长，最多140字,評論過長，最多140字
pc_reply_someone,Reply %@,Responder %@,उत्तर दें %@,返答%@,댓글 %@,Responder %@,Ответить %@,ตอบ %@,Trả lời %@,回复 %@,回復%@
pc_network_error_try_again,"Network error, try again later","Error de red, intenta nuevamente más tarde","नेटवर्क त्रुटि, पुनः प्रयास करें",ネットワーク・エラーです。しばらくしてから、もう一度お試しください。,"네트워크 오류, 나중에 재시도하세요","Erro de rede, tente novamente depois","Ошибка сети, повторите попытку позже",ข้อผิดพลาดของเครือข่าย ลองใหม่อีกครั้งในภายหลัง,"Lỗi mạng, thử lại sau",网络异常，稍后再试,網絡异常，稍後再試
pc_more,More,Más,और अधिक,もっと,더,Mais,Больше,เพิ่มเติม,Hơn,更多,更多
pc_friends_new_comment,Friend's new Moment,Actualización amigo,मित्र का नया पल,親友の新鮮な事,친구의 새로운 순간,Atualização amigo,Момент друга,โมเมนต์ใหม่ของเพื่อน,Cập nhật bạn bè,好友新动态,好友新動態
pc_relay,Relay,Retransmisión,रिले,Relay（リレー）,릴레이,Transmissão,Эстафета,รีเลย์,Chuyển tiếp,接力,接力
pc_follow_someone,Followed,Seguidos,अनुसरण किया गया,フォローしました。,팔로잉,Seguido,Отслеживали,ติดตามแล้ว,Đã theo dõi,关注了,關注了
pc_like_photo_num,Liked %ld photos,Te gustan %ld fotos,%ld फ़ोटो पसंद की,%ld 写真を気に入りました。,%ld 사진 '좋아요',Curtiu %ld fotos,Ставили «нравится» к %ld фото,ไล้ค์ %ld ภาพ,Đã thích %ld ảnh,喜欢了 %ld 个瞬间,喜歡了%ld個瞬間
pc_friends_moments,Friend Moments,Momentos de Amigos,मित्र के पल,友人のMoments（瞬間）,친구의 모멘츠,Momentos do amigo,Моменты друзей,โมเมนต์ของเพื่อน,Khoảnh khắc Bạn bè,好友动态,好友動態
pc_recommended_users,Recommended user,Usuario recomendado,अनुशंसित उपयोगकर्ता,推奨のユーザー,추천 사용자,Usuário recomendado,Рекомендуемый пользователь,ผู้ใช้ที่แนะนำ,Người dùng đề xuất,推荐用户,推薦用戶
pc_bind_phone_number,Bind phone number,Vincular número telefónico,फ़ोन नंबर बाइंड करें,電話番号を関連付ける,전화번호 바인딩,Vincular número de telefone,Привязать номер телефона,หมายเลขโทรศัพท์ผูก,Liên kết số điện thoại,手机号绑定,手機號綁定
pc_bound_success,Bound,Vincular,बाउंड है,関連付けられた,바인딩 완료,Vincular,Привязан,ผูก,Đã liên kết,·,完成綁定
pc_recommend,Recommended,Recomendado,अनुशंसित,推奨,강추,Recomendado,Рекомендованный,แนะนำ,Đề xuất,推荐,推薦
pc_your_friends_from_contacts_and_facebook,Your friends are all here,Tus amigos,आपके सभी मित्र यहाँ हैं,あなたの友人,친구가,Seus amigos,Ваши друзья,เพื่อนของคุณมาที่นี่,Bạn bè của bạn,你的好友在这里,你的好友在這裡
pc_tag,Tag,Etiquetar,टैग करें,タグ,태그,Marcar,Метка,แท็ก,Tag,标签,標籤
pc_user,User,Usuario,उपयोगकर्ता,ユーザー,사용자,Usuário,Пользователь,ผู้ใช้งาน,Người dùng,用户,用戶
pc_load_more,Load more,Cargar más,और लोड करें,さらにロードする,다운로드 더하기,Saiba mais,Загрузить еще,โหลดเพิ่มเติม,Tải thêm,加载更多,加載更多
pc_tap_screen_to_reload,Tap screen to reload,Toca la pantalla para recargar,फिर से लोड करने के लिए स्क्रीन पर टैप करें,画面をタップして再ロードする,화면을 터치하면 다시 다운로드됩니다.,Toque na tela para recarregar,Нажмите на экран для перезагрузки,แตะที่หน้าจอเพื่อโหลด,Nhấn màn hình để tải lại,点击屏幕重新加载,點擊荧幕重新加載
pc_join_relay,Join relay,Unirse a retransmisión,रिले में शामिल हों,Relay（リレー）に参加する,릴레이에 참여,Juntar-se à transmissão,Присоединиться к эстафете,เข้าร่วมการรีเลย์,Tham gia chuyển tiếp,参与接力,參與接力
pc_like,Like,Me gusta,पसंद करें,いいね,좋아요,Curtir,Нравится,ไล้ค์,Thích,喜欢,喜歡
pc_say_something,Say something (within 140 words),Di algo (dentro de las 140 palabras),कुछ कहें (140 शब्द में),コメントをする（140字以内）,말하기 (140 단어 이내),Diga algo (até 140 palavras),Скажите что-нибудь (не более 140 слов),พูดอะไรบางอย่าง (ภายใน 140 คำ),Nói gì đó (trong vòng 140 từ),说点什么吧（140字以内）,說點什麼吧（140字以內）
pc_post_preview,Post preview,Publicar vista previa,पुर्वावलोकन पोस्ट करें,プレビューを投稿する,게시물 미리보기,Publicar visualização,просмотр поста,โพสต์ภาพตัวอย่าง,Xem trước bài đăng,发布预览,發佈預覽
pc_remind_who_viewed,Remind who viewed,Recordar quiénes vieron,जिसने देखा उसे याद दिलाएँ,見た人に注意を促す,본 사람 알림,Lembrar quem viu,"Напомнить, кто просмотрел",เตือนว่ามีใครมาดู,Nhắc nhở ai đã xem,提醒谁看,提醒誰看
pc_turn_on_location_services,Turn on location services,Activar servicios de ubicación,स्थान सेवाएँ चालू करें,位置情報サービスをオンにする,위치 서비스를 켜십시오,Ativar serviços de local,Включить сервисы местоположения,เปิดบริการตำแหน่ง,Bật dịch vụ định vị,请打开地理位置服务,請打開地理位置服務
pc_shoot,Shoot,Tomar,शूट करें,撮影,촬영,Registrar,Фотосъемка,ถ่ายภาพ,Chụp,拍照,拍照
pc_shoot_camera,Camera,Tomar,शूट करें,撮影,촬영,Registrar,Фотосъемка,ถ่ายภาพ,Chụp,拍照,拍照
pc_short_video,Video,Video,वीडियो,動画,동영상,Vídeo,Видео,วีดีโอ,Video,视频,視頻
pc_can_not_exceed_words,Cannot exceed 140 words,No puedes exceder las 140 palabras,140 शब्दों से अधिक नहीं हो सकता,140字を超えることはできません。,140 단어를 초과할 수 없습니다,Não pode exceder 140 palavras,Не более 140 слов,จะต้องไม่เกิน 140 คำ,Không được vượt quá 140 từ,不能超过140个字,不能超過140個字
pc_my_messages,My messages,Mis mensajes,मेरे संदेश,マイ・メッセージ,내 메시지,Minhas mensagens,Мои сообщения,ข้อความของฉัน,Tin nhắn của tôi,我的消息,我的消息
pc_mine,Mine,Mío,मेरा,自分のもの,내 것,Meu,Мое,ของฉัน,Của tôi,我的,我的
pc_message_mine,Mentions,Mío,मेरा,自分のもの,내 것,Meu,Мое,ของฉัน,Của tôi,@我的,@我的
pc_toolbar_mine,Me,Mío,मेरा,自分のもの,내 것,Meu,Мое,ของฉัน,Của tôi,我的,我的
pc_zan,Like,Me gusta,पसंद करें,いいね,좋아요,Curtir,«Нравится»,ไล้ค์,Thích,赞,贊
pc_message_zan,Likes,Me gusta,पसंद करें,いいね,좋아요,Curtir,«Нравится»,ไล้ค์,Thích,赞,贊
pc_new_fans,New fan,Nuevo fanático,नया प्रशंसक,新しいファン,새 팬,Novo fã,Новый поклонник,แฟนใหม่,Fan mới,新增粉丝,新增粉絲
pc_message_fans,New Fans,Nuevo fanático,नया प्रशंसक,新しいファン,새 팬,Novo fã,Новый поклонник,แฟนใหม่,Fan mới,新增粉丝,新增粉絲
pc_notification,Notification,Notificación,अधिसूचना,通知,공고,Notificação,Уведомление,การแจ้งเตือน,Thông báo,通知,通知
pc_message_notification,Notifications,Notificaciones,अधिसूचनाएँ,通知,알림,Notificações,Уведомления,การแจ้งเตือน,Thông báo,消息通知,消息通知
pc_set_portrait_personal_info,"Set portrait, personal info","Establecer retrato, información personal","पोर्ट्रेट, निजी जानकारी निर्धारित करें",ポートレート、個人情報を設定する,"세로 방향 설정, 개인 정보",Definir informações do retrato e pessoais,"Добавить портрет, личную информацию",ตั้งแนวตั้ง ข้อมูลส่วนตัว,"Đặt chân dung, thông tin cá nhân","设置头像,个人资料",設定頭像，個人資料
pc_add_friend,Add Friends,Agregar amigo,मित्र जोड़ें,友人を追加する,친구 추가,Adicionar amigo,Добавить друга,เพิ่มเพื่อน,Thêm bạn bè,添加好友,添加好友
pc_moments_num,%@ Moments,%@ momentos,%@ पल,%@ Moments（瞬間）,%@ 모멘츠,%@ momentos,%@ Моменты,%@ โมเมนต์,%@ Khoảnh khắc,%@ 条新动态,%@條新動態
pc_me,Me,Yo,मैं,私,나,Eu,Я,ผม,Tôi,我,我
pc_obtain_message,Obtain message,Obtener mensaje,संदेश प्राप्त करें,メッセージを入手する,메시지 획득,Obter mensagem,Получить сообщение,ได้รับข้อความ,Lấy tin nhắn,获奖消息,獲獎消息
pc_no_longger_receive_notification_if_setting,You will no longer receive notifications after turning off,Ya no recibirás notificaciones luego de apagarlo,बंद करने के बाद आपको फिर अधिसूचनाएँ नहीं मिलेंगी,オフにすると、通知は届かなくなります。,휴대폰을 끄면 알림을 받을 수 없습니다,Você não receberá mais notificações após desativar,Вы больше не будете получать уведомления после отключения,คุณจะไม่ได้รับการแจ้งเตือนหลังจากปิด,Bạn sẽ không nhận được thông báo nữa sau khi tắt,若关闭则不会收到对应的通知消息,若關閉則不會收到對應的通知消息
pc_notification_setting,Notification settings,Notificación de cambio,अधिसूचना सेटिंग्स,通知の設定,알림 설정,Configurações de notificação,Настройки уведомления,การตั้งค่าการแจ้งเตือน,Cài đặt thông báo,通知设置,通知設定
pc_creator,Creator,Creador,रचयिता,クリエーター,작성자,Criador,Создатель,ผู้สร้าง,Người khởi tạo,创建者,創建者
pc_num_people_relaying,X people are relaying,X personas están retransmitiendo,X लोग रिले कर रहे हैं,X 人がRelay（リレー）をしています。,X 명 릴레이 중,X pessoas estão transmitindo,X человек участвуют в эстафете,X คนกำลังรีเลย์,X người đang chuyển tiếp,人正在接力,人正在接力
pc_num_people_answering,X people are answering,X personas están respondiendo,X लोगों का जवाब दे रहे हैं,X 人が返答をしています。,X 명 응답 중,X pessoas estão respondendo,X человек отвечают,X คนตอบรับ,X người đang trả lời,人正在问答,人正在問答
pc_newest,Newest,Más nuevo,नवीनतम,最新,최신,Mais novo,Самый новый,ใหม่ล่าสุด,Mới nhất,最新,最新
pc_hottest,Hottest,Más popular,सबसे हॉट,最もホットな,최고 인기,Mais quente,Самый популярный,ฮ็อตสุดๆ,Phổ biến nhất,最热,最熱
pc_searching,Searching…,Buscando...,खोज हो रही है...,検索中…,검색 중…,Procurando...,Поиск…,กำลังค้นหา ...,Đang tìm kiếm...,搜索...,搜索…
pc_get_reward,Get reward,El Premio,पुरस्कार प्राप्त करें,報奨を得る,보상 획득,Obter recompensa,Получить награду,รับรางวัล,giải thưởng,获奖,獲獎
pc_acctount_info,Account info,Información de cuenta,खाता जानकारी,アカウント情報,계정 정보,Informações da conta,Информация об учетной записи,ข้อมูลบัญชี,Thông tin tài khoản,账号信息,帳號資訊
pc_about_camera360,About Camera360,Acerca de Camera360,Camera360 के बारे में,Camera360について,Camera360 소개,Sobre a Camera360,О Camera360,เกี่ยวกับ Camera360,Giới thiệu Camera360,关于Camera360,關於Camera360
pc_settings,Settings,Configuración,सेटिंग्स,設定,설정,Configurações,Настройки,การตั้งค่า,Cài đặt,设置,設定
pc_plaza,Plaza,Plaza,प्लाज़ा,プラザ,광장,Plaza,Площадь,พลาซ่า,Plaza,广场,廣場
pc_featured_video,Selected Videos,Video destacado,फ़ीचर्ड वीडियो,特集動画,추천 동영상,Vídeo em destaque,Избранное видео,วีดิโอแนะนำ,Video nổi bật,精选视频,精選視頻
pc_people_nearby,People Nearby,Personas cerca,आसपास के लोग,近くにいる人,근처의 이웃들,Pessoas próximas,Люди поблизости,คนที่อยู่ใกล้เคียง,Người gần đó,附近的人,附近的人
pc_recommended_content,Recommended content,Contenido recomendado,अनुशंसित सामग्री,推奨のコンテンツ,추천 콘텐츠,Conteúdo recomendado,Рекомендованное содержимое,เนื้อหาแนะนำ,Nội dung đề xuất,推荐内容,推薦內容
pc_hot_works,Hot works,Trabajos populares,हॉट कार्य,ホットな作品,인기 작품,Trabalhos quentes,Популярные работы,ผลงานที่น่าสนใจ,Tác phẩm phổ biến,热门作品,熱門作品
pc_ad,Ad,Anuncio,विज्ञापन,広告,광고,Anúncio,Реклама,โฆษณา,Quảng cáo,推广,推廣
pc_hot,Hot,Popular,हॉट,ホットな,핫,Quente,Популярное,ฮ็อต,Phổ biến,热门,熱門
pc_edit_featured,Edit featured,Editar destacado,फ़ीचर्ड संपादित करें,特徴づけられた編集,추천 편집,Editar destacado,Редактировать избранное,แก้ไขคุณสมบัติ,Chỉnh sửa nổi bật,编辑精选,編輯精選
pc_not_logged_in,Sign In / Sign up,Iniciar sesión / Registrarse,साइन इन / साइन अप,サインイン / 登録,로그 인/가입,Entrar / Cadastrar-se,Войти/Зарегистрироват.,เข้าสู่ระบบและสมัครสมาชิก,Đăng nhập / Đăng ký,点击登录 / 注册,點擊登入 / 注册
pc_user_center,Me,Yo,मैं,私,나,Eu,Я,ฉัน,Tôi,个人中心,個人中心
pc_my_c_points,My C Points,Mis puntos C,मेरे C पाइंट,マイ C points,내 C 포인트,Meus pontos C,Мои C-баллы,คะแนน C ของฉัน,C point của Tôi,我的C币,我的C幣
pc_local_album,Local album,Álbum local,स्थानीय एल्बम,ローカル・アルバム,현지 앨범,Álbum local,Локальный альбом,อัลบั้มภายใน,Album cục bộ,本地相册,本地相册
pc_moments,Moments,Momentos,पल,瞬間,모멘츠,Momentos,Моменты,ชั่วครู่,chốc lát,瞬 间,瞬 間
pc_like_home,Like,Me gusta,पसंद करें,いいね,좋아요,Curtir,«Нравится»,ไล้ค์,Thích,喜 欢,喜歡
pc_follow_home,Follow,Seguir,अनुसरण करें,フォロー,팔로우,Seguir,Отслеживать,ติดตาม,Theo dõi,关 注,關注
pc_fans_home,Fans,Fanáticos,प्रशंसक,ファン,팬,Fãs,Поклонники,แฟน,Fan,粉 丝,粉絲
newuser_editinfo,Edit info,Editar información,जानकारी संपादित करें,編集情報,정보 수정,Editar informações,Редактировать информацию,แก้ไขวัสดุ,Chỉnh sửa thông tin,编辑资料,編輯資料
pc_come_from,From %@,Desde %@,%@ से,送信者%@,%@부터,De %@,От %@,จาก %@,Từ %@,来自 %@,來自%@
pc_friends,Friend,Amigo,मित्र,お友だち,친구,Amigo,Друг,เพื่อน,Bạn bè,好友,好友
pc_publish_friends,@ Friends,Amigo,मित्र,お友だち,친구,Amigo,Друг,เพื่อน,Bạn bè,好友,好友
pc_homepage,Home,Página inicial,होमपेज,ホームページ,홈페이지,Página inicial,Главная,โฮมเพจ,Trang chủ,首页,首頁
pc_message,Message,Tienda,संदेश,メッセージ,메시지,Mensagem,Сообщение,ข้อความ,Tin nhắn,消息,消息
pc_share_moments,Share moments☺,Compartir momentos ☺,पल साझा करें☺,Moments（瞬間）を共有する☺,모멘츠 공유☺,Compartilhar momentos☺,Поделиться моментами☺,แบ่งปันช่วงเวลา☺,Chia sẻ khoảnh khắc☺,分享精彩瞬间☺,分享精彩瞬間☺
pc_share_title2,Share moments,Compartir momentos,पल साझा करें,Moments（瞬間）を共有する,모멘츠 공유,Compartilhar momentos,Поделиться моментами,แบ่งปันช่วงเวลา,Chia sẻ khoảnh khắc,分享精彩瞬间,分享精彩瞬間
pc_not_show_location,Do not show location,No mostrar ubicación,लोकेशन फिर न दिखाएँ,位置情報を表示しない,위치 표시하지 않음,Não exibir local,Не показывать местоположение,ไม่ต้องแสดงสถานที่ตั้ง,Không hiện vị trí,不显示地理位置,不顯示地理位置
pc_take_video,Video,Video,वीडियो,動画,동영상,Vídeo,Видео,วีดีโอ,Video,视频,視頻
pc_msglist_expand,Expand,Expandir,विस्तृत करें,展開する,확장,Expandir,Развернуть,ขยาย,Bung rộng,展开,展開
pc_msglist_fold,Fold,Plegar,फ़ोल्ड,折りたたむ,겹치기,Dobrar,Свернуть,พับ,Gập lại,收起,收起
pc_task_unavailable,"Sorry, your device cannot join challenge because it isn't compatible","Lo sentimos, su dispositivo no puede unirse al reto porque no es compatible","क्षमा करें, आपकी डिवाइस चुनौती में शामिल नहीं हो सकती क्योंकि यह संगत नहीं है",申し訳ございませんが、お使いのデバイスには互換性がないためチャレンジには参加できません。,죄송합니다. 귀하의 장치가 호환되지 않으므로 챌린지에 참여할 수 없습니다.,"Desculpe, o seu dispositivo não pode se juntar ao desafio, pois não é compatível","К сожалению, Ваше устройство не может установить соединение, поскольку оно несовместимо.",ขออภัย คุณเข้าร่วมการแข่งขันไม่ได้ เพราะไม่สามารถเข้ากันได้,"Rất tiếc, thiết bị của bạn không thể tham gia thách thức bởi nó không tương thích",非常抱歉，因手机兼容问题当前设备不能参与该挑战,非常抱歉，因手機相容問題當前設備不能參與該挑戰
pc_more_video,More,Más,और अधिक,もっと,더,Mais,Больше,เพิ่มเติม,Hơn,更多,更多
pc_square_slogan,Let you see the world,Abre tus ojos al mundo,खुद को दुनिया देखने दें,世界中の人にあなたのことを見てもらいましょう。,세상을 볼수 있습니다.,Permita-se ver o mundo,Познайте мир,ช่วยให้คุณได้เห็นโลก,Để bạn ngắm nhìn thế giới,让你看到世界,讓你看到世界
pc_homepage_slidemore,Slide to search more,Desplázate para ver más,और अधिक खोजने के लिए स्लाइड करें,スライドしてもっと探す,슬라이드하여 더 많이 검색,Deslize para buscar mais,Пролистайте для дальнейшего поиска,เลื่อน เพื่อค้นหาเพิ่มเติม,Trượt để tìm hiểu thêm,滑动探索更多,滑動探索更多
pc_homepage_seemore,Let more people see your posts,Deja que más gente admire tus momentos,और अधिक लोगों को अपने पल दिखाएँ,もっと多くの人にあなたの瞬間を見てもらいましょう。,더 많은 사람이 귀하의 모멘트를 볼수 있습니다.,Permita que mais pessoas vejam os seus momentos,Поделитесь с людьми важными моментами Вашей жизни,ให้คนอื่น ๆ เห็นโมเมนต์เวลาของคุณ,Hãy để nhiều người hơn thấy khoảnh khắc của bạn,让更多人看到你的瞬间,讓更多人看到你的瞬間
pc_people_follow_and_photo,New updates from %@ etc.,"La gente de %@, tiene nuevas actualizaciones",%@ से लोगों के नए अद्यतन हैं,"%@,の人が更新をしています。",%@ 사용자의 새 업데이트가 있습니다.,"Pessoas de %@, têm novas atualizações",%@ новых моментов,ผู้คนจาก %@ ได้อัปเดตใหม่,"Những người đến từ %@, có cập nhật mới",%@等人，有了新动态,%@等人，有了新動態
pc_posted_num_works,%zd Posts,%zd Posts,%zd पोस्ट,%zd の投稿,게시물 %zd,%zd posts,Посты  %zd,%zd โพสต์,%zd Bài đăng,%zd个瞬间,%zd個瞬間
pc_liked_num_works,%zd Likes,%zd Me gusta,%zd पसंद,%zd の「いいね」,추천수 %zd,%zd curtidas,Лайки %zd,%zd ชอบ,%zd Thích,%zd个喜欢,%zd個喜歡
